38436000,0.0615,0,2023-05-06 21:01:57
38435000,0.0156,0,2023-05-06 21:01:57
38433000,0.1527,0,2023-05-06 21:01:57
38432000,0.0009,0,2023-05-06 21:01:57
38428000,0.0553,0,2023-05-06 21:01:57
38447000,0.2506,1,2023-05-06 21:01:57
38448000,0.0848,1,2023-05-06 21:01:57
38450000,0.1381,1,2023-05-06 21:01:57
38451000,0.0477,1,2023-05-06 21:01:57
38452000,0.0094,1,2023-05-06 21:01:57
38436000,0.0615,0,2023-05-06 21:01:58
38435000,0.0156,0,2023-05-06 21:01:58
38433000,0.1527,0,2023-05-06 21:01:58
38432000,0.0009,0,2023-05-06 21:01:58
38428000,0.0553,0,2023-05-06 21:01:58
38447000,0.2506,1,2023-05-06 21:01:58
38448000,0.0848,1,2023-05-06 21:01:58
38450000,0.1381,1,2023-05-06 21:01:58
38451000,0.0477,1,2023-05-06 21:01:58
38452000,0.0094,1,2023-05-06 21:01:58
38436000,0.0615,0,2023-05-06 21:01:59
38435000,0.0156,0,2023-05-06 21:01:59
38433000,0.1527,0,2023-05-06 21:01:59
38432000,0.0009,0,2023-05-06 21:01:59
38428000,0.0553,0,2023-05-06 21:01:59
38447000,0.2506,1,2023-05-06 21:01:59
38448000,0.0848,1,2023-05-06 21:01:59
38450000,0.1381,1,2023-05-06 21:01:59
38451000,0.0477,1,2023-05-06 21:01:59
38452000,0.0094,1,2023-05-06 21:01:59
38436000,0.0615,0,2023-05-06 21:02:00
38435000,0.0156,0,2023-05-06 21:02:00
38433000,0.1527,0,2023-05-06 21:02:00
38432000,0.0009,0,2023-05-06 21:02:00
38429000,0.039,0,2023-05-06 21:02:00
38447000,0.2506,1,2023-05-06 21:02:00
38448000,0.0848,1,2023-05-06 21:02:00
38450000,0.1381,1,2023-05-06 21:02:00
38451000,0.0477,1,2023-05-06 21:02:00
38452000,0.0094,1,2023-05-06 21:02:00
38440000,0.1281,0,2023-05-06 21:02:01
38439000,0.1258,0,2023-05-06 21:02:01
38438000,0.0648,0,2023-05-06 21:02:01
38436000,0.0848,0,2023-05-06 21:02:01
38435000,0.0156,0,2023-05-06 21:02:01
38447000,0.2503,1,2023-05-06 21:02:01
38450000,0.0525,1,2023-05-06 21:02:01
38453000,1.236,1,2023-05-06 21:02:01
38455000,0.005,1,2023-05-06 21:02:01
38457000,0.0154,1,2023-05-06 21:02:01
38442000,0.0623,0,2023-05-06 21:02:02
38440000,0.1281,0,2023-05-06 21:02:02
38439000,0.0848,0,2023-05-06 21:02:02
38436000,0.1439,0,2023-05-06 21:02:02
38435000,0.0156,0,2023-05-06 21:02:02
38447000,0.2503,1,2023-05-06 21:02:02
38453000,1.236,1,2023-05-06 21:02:02
38455000,0.005,1,2023-05-06 21:02:02
38456000,0.0854,1,2023-05-06 21:02:02
38457000,0.0154,1,2023-05-06 21:02:02
