timestamp,mid_price,indicator_value
2023-05-07 00:00:01,38642500.0,-22515.083955675364
2023-05-07 00:00:03,38644000.0,-24002.84908671677
2023-05-07 00:00:04,38644000.0,-24910.95476938784
2023-05-07 00:00:05,38644000.0,-24910.551919430494
2023-05-07 00:00:06,38643000.0,-25387.573361590505
2023-05-07 00:00:07,38642500.0,-25991.311678513885
2023-05-07 00:00:08,38639500.0,-26116.032036215067
2023-05-07 00:00:09,38639500.0,-24150.27026501298
2023-05-07 00:00:10,38640000.0,-25225.264556616545
2023-05-07 00:00:11,38640000.0,-24445.072541221976
2023-05-07 00:00:13,38640000.0,-24445.072541221976
2023-05-07 00:00:14,38640000.0,-24445.072541221976
2023-05-07 00:00:15,38640000.0,-24445.072541221976
2023-05-07 00:00:16,38640000.0,-24445.072541221976
2023-05-07 00:00:17,38640500.0,-23585.4371317178
2023-05-07 00:00:18,38642000.0,-19381.637141674757
2023-05-07 00:00:19,38654000.0,-12170.907644048333
2023-05-07 00:00:20,38654500.0,-22712.97497345507
2023-05-07 00:00:21,38654000.0,-21189.47419203818
2023-05-07 00:00:22,38653500.0,-30026.469157755375
2023-05-07 00:00:23,38649500.0,-23038.63034631312
2023-05-07 00:00:25,38649500.0,-14609.166446641088
2023-05-07 00:00:26,38649500.0,-14609.166446641088
2023-05-07 00:00:27,38651000.0,-18720.389693021774
2023-05-07 00:00:28,38651000.0,-18720.389693021774
2023-05-07 00:00:29,38651000.0,-18720.389693021774
2023-05-07 00:00:30,38651000.0,-18534.093353241682
2023-05-07 00:00:31,38651000.0,-18534.093353241682
2023-05-07 00:00:32,38651000.0,-18534.093353241682
2023-05-07 00:00:33,38652500.0,-20232.983549281955
2023-05-07 00:00:34,38652500.0,-20232.983549281955
2023-05-07 00:00:36,38652500.0,-20232.983549281955
2023-05-07 00:00:37,38652500.0,-20799.714697524905
2023-05-07 00:00:38,38652500.0,-20799.714697524905
2023-05-07 00:00:39,38651500.0,-22727.265990823507
2023-05-07 00:00:40,38651500.0,-22727.265990823507
2023-05-07 00:00:41,38650000.0,-19966.577488332987
2023-05-07 00:00:42,38650000.0,-19966.577488332987
2023-05-07 00:00:43,38650000.0,-19966.577488332987
