      price  quantity  type
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.0859     1
4  38618000    0.1011     1


      price  quantity  type
0  38601000    0.0652     0
1  38599000    0.0869     0
2  38595000    0.0862     0
3  38593000    0.0529     0
4  38592000    0.0975     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.0859     1
4  38618000    0.1011     1


      price  quantity  type
0  38601000    0.0652     0
1  38599000    0.0869     0
2  38595000    0.0862     0
3  38593000    0.0529     0
4  38592000    0.0975     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.0859     1
4  38618000    0.1011     1


      price  quantity  type
0  38601000    0.0652     0
1  38599000    0.0869     0
2  38595000    0.0862     0
3  38593000    0.0529     0
4  38592000    0.0975     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.0859     1
4  38615000    0.0379     1


      price  quantity  type
0  38601000    0.0652     0
1  38599000    0.0869     0
2  38595000    0.0862     0
3  38593000    0.0529     0
4  38592000    0.0975     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.0859     1
4  38615000    0.0379     1


      price  quantity  type
0  38598000    0.0880     0
1  38595000    0.0862     0
2  38593000    0.0529     0
3  38592000    0.0975     0
4  38588000    0.7500     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.1476     1
4  38615000    0.0379     1


      price  quantity  type
0  38598000    0.0880     0
1  38595000    0.0862     0
2  38593000    0.0529     0
3  38592000    0.0975     0
4  38588000    0.7500     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.1476     1
4  38615000    0.0379     1


      price  quantity  type
0  38598000    0.0856     0
1  38597000    0.0629     0
2  38595000    0.0862     0
3  38593000    0.0529     0
4  38592000    0.0975     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.2167     1
4  38615000    0.0379     1


      price  quantity  type
0  38598000    0.0856     0
1  38597000    0.0629     0
2  38595000    0.0862     0
3  38593000    0.0529     0
4  38592000    0.0975     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.2167     1
4  38615000    0.0379     1


      price  quantity  type
0  38598000    0.0856     0
1  38597000    0.0629     0
2  38595000    0.0862     0
3  38593000    0.0529     0
4  38592000    0.0975     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.2167     1
4  38615000    0.0379     1


      price  quantity  type
0  38597000    0.0629     0
1  38595000    0.0862     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38588000    0.7500     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.1449     1
3  38614000    0.2167     1
4  38615000    0.0379     1


      price  quantity  type
0  38597000    0.0629     0
1  38595000    0.0862     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38588000    0.7500     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.1449     1
3  38614000    0.2167     1
4  38617000    0.0089     1


      price  quantity  type
0  38597000    0.0629     0
1  38595000    0.0862     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38588000    0.7500     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.1449     1
3  38614000    0.2167     1
4  38617000    0.0089     1


      price  quantity  type
0  38597000    0.0629     0
1  38595000    0.0862     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38588000    0.7500     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.1449     1
3  38614000    0.2167     1
4  38617000    0.0089     1


      price  quantity  type
0  38599000    0.0837     0
1  38598000    0.0894     0
2  38597000    0.0787     0
3  38595000    0.0862     0
4  38593000    0.1112     0
0  38609000    0.0490     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38614000    0.0617     1
4  38617000    0.0089     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0787     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.0645     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.5814     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.5814     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.5814     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.0645     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.0645     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.0645     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.0645     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.0838     1
4  38617000    0.0645     1


      price  quantity  type
0  38600000    0.0611     0
1  38599000    0.0837     0
2  38598000    0.0894     0
3  38597000    0.0158     0
4  38595000    0.0862     0
0  38611000    0.0694     1
1  38612000    0.0554     1
2  38614000    0.0617     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38599000    0.0837     0
1  38598000    0.0894     0
2  38597000    0.0158     0
3  38595000    0.0612     0
4  38593000    0.1018     0
0  38609000    0.0090     1
1  38611000    0.0694     1
2  38612000    0.0554     1
3  38613000    0.0861     1
4  38614000    0.1012     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.0612     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6626     0
0  38608000    0.0390     1
1  38609000    0.0928     1
2  38611000    0.1331     1
3  38612000    0.0554     1
4  38613000    0.0861     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38608000    0.0386     1
1  38609000    0.0090     1
2  38611000    0.1331     1
3  38612000    0.0554     1
4  38613000    0.0861     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38608000    0.0386     1
1  38609000    0.0090     1
2  38611000    0.1331     1
3  38612000    0.0554     1
4  38613000    0.0861     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38609000    0.0090     1
1  38611000    0.1720     1
2  38612000    0.0554     1
3  38613000    0.0861     1
4  38616000    0.1529     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38609000    0.0090     1
1  38611000    0.1720     1
2  38612000    0.0554     1
3  38613000    0.0861     1
4  38616000    0.1529     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.5814     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.5814     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.5814     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.6946     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.0475     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.0475     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.0475     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.0475     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.0475     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.1484     0
2  38593000    0.1018     0
3  38592000    0.0895     0
4  38588000    0.0475     0
0  38611000    0.1083     1
1  38612000    0.0554     1
2  38613000    0.0861     1
3  38616000    0.1529     1
4  38617000    0.0645     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.0872     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38588000    0.0475     0
0  38607000    0.0650     1
1  38609000    0.0575     1
2  38611000    0.1708     1
3  38612000    0.0554     1
4  38613000    0.0861     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.0872     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38591000    0.0618     0
0  38607000    0.0650     1
1  38608000    0.0407     1
2  38609000    0.0575     1
3  38611000    0.1083     1
4  38612000    0.0554     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.0872     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38591000    0.0618     0
0  38607000    0.0650     1
1  38608000    0.0407     1
2  38609000    0.0575     1
3  38611000    0.1083     1
4  38612000    0.0554     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.0872     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38591000    0.0618     0
0  38607000    0.0650     1
1  38608000    0.0407     1
2  38609000    0.0575     1
3  38611000    0.1083     1
4  38612000    0.0554     1


      price  quantity  type
0  38597000    0.0158     0
1  38595000    0.0872     0
2  38593000    0.0529     0
3  38592000    0.0895     0
4  38591000    0.0618     0
0  38607000    0.0650     1
1  38608000    0.0407     1
2  38609000    0.0575     1
3  38611000    0.1083     1
4  38612000    0.0554     1


      price  quantity  type
0  38592000    0.0052     0
1  38588000    0.0475     0
2  38584000    0.1122     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38597000    0.0039     1
2  38604000    0.0270     1
3  38605000    0.0969     1
4  38606000    0.0082     1


      price  quantity  type
0  38588000    0.0320     0
1  38584000    0.2000     0
2  38583000    0.0057     0
3  38581000    0.0861     0
4  38579000    0.0260     0
0  38590000    0.1322     1
1  38591000    0.0390     1
2  38595000    0.1030     1
3  38598000    0.0159     1
4  38600000    0.1366     1


      price  quantity  type
0  38588000    0.0320     0
1  38584000    0.0840     0
2  38583000    0.0057     0
3  38581000    0.0861     0
4  38579000    0.0260     0
0  38590000    0.0743     1
1  38591000    0.0390     1
2  38595000    0.1411     1
3  38598000    0.0797     1
4  38600000    0.1366     1


      price  quantity  type
0  38588000    0.0320     0
1  38584000    0.0840     0
2  38583000    0.0057     0
3  38581000    0.0861     0
4  38579000    0.0895     0
0  38590000    0.0225     1
1  38591000    0.0390     1
2  38595000    0.1411     1
3  38598000    0.0797     1
4  38600000    0.1366     1


      price  quantity  type
0  38588000    0.0320     0
1  38584000    0.0840     0
2  38583000    0.0057     0
3  38581000    0.0861     0
4  38579000    0.0895     0
0  38590000    0.0225     1
1  38591000    0.0390     1
2  38595000    0.1411     1
3  38598000    0.0797     1
4  38600000    0.1366     1


      price  quantity  type
0  38588000    0.0320     0
1  38584000    0.0840     0
2  38583000    0.0057     0
3  38581000    0.0861     0
4  38579000    0.0895     0
0  38590000    0.0225     1
1  38595000    0.1411     1
2  38598000    0.0638     1
3  38599000    0.0086     1
4  38600000    0.1366     1


      price  quantity  type
0  38588000    0.0320     0
1  38584000    0.0840     0
2  38583000    0.0057     0
3  38582000    0.0620     0
4  38581000    0.0861     0
0  38590000    0.0225     1
1  38595000    0.1411     1
2  38596000    0.0151     1
3  38598000    0.0638     1
4  38599000    0.0086     1


      price  quantity  type
0  38588000    0.0320     0
1  38584000    0.0840     0
2  38583000    0.0057     0
3  38582000    0.0620     0
4  38581000    0.0861     0
0  38595000    0.1411     1
1  38596000    0.0151     1
2  38598000    0.0638     1
3  38599000    0.0086     1
4  38600000    0.1366     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0490     1
3  38601000    0.0839     1
4  38603000    0.0562     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38603000    0.0562     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38603000    0.0562     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38603000    0.0562     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38603000    0.0562     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38603000    0.0562     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38603000    0.5735     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38602000    0.0691     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38602000    0.0691     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38602000    0.0691     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38600000    0.0899     1
3  38601000    0.0839     1
4  38602000    0.0691     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0320     0
1  38587000    0.0863     0
2  38585000    0.0635     0
3  38584000    0.0840     0
4  38583000    0.0057     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.0319     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.6790     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.6790     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.6790     0
1  38585000    0.0635     0
2  38584000    0.0840     0
3  38583000    0.0057     0
4  38581000    0.0861     0
0  38595000    0.1030     1
1  38596000    0.0151     1
2  38598000    0.0081     1
3  38600000    0.0899     1
4  38601000    0.1478     1


      price  quantity  type
0  38588000    0.5468     0
1  38583000    0.0057     0
2  38581000    0.0861     0
3  38579000    0.0260     0
4  38576000    0.0579     0
0  38595000    0.1030     1
1  38596000    0.0796     1
2  38597000    0.0894     1
3  38598000    0.0081     1
4  38600000    0.0899     1


      price  quantity  type
0  38588000    0.3756     0
1  38583000    0.0057     0
2  38581000    0.0861     0
3  38579000    0.0260     0
4  38578000    0.0642     0
0  38595000    0.1435     1
1  38596000    0.0796     1
2  38597000    0.0894     1
3  38598000    0.0081     1
4  38600000    0.0490     1


      price  quantity  type
0  38579000    0.0260     0
1  38574000    0.1088     0
2  38568000    0.0893     0
3  38567000    0.0575     0
4  38565000    0.0495     0
0  38586000    0.1280     1
1  38589000    0.0631     1
2  38590000    0.0094     1
3  38593000    0.1790     1
4  38594000    0.0591     1


      price  quantity  type
0  38579000    0.0260     0
1  38574000    0.1088     0
2  38572000    0.0609     0
3  38570000    0.0872     0
4  38568000    0.1043     0
0  38585000    0.0158     1
1  38586000    0.1124     1
2  38589000    0.0631     1
3  38590000    0.0094     1
4  38593000    0.1408     1


      price  quantity  type
0  38574000    0.1088     0
1  38572000    0.1486     0
2  38570000    0.0872     0
3  38568000    0.1043     0
4  38567000    0.1145     0
0  38586000    0.0282     1
1  38588000    0.0868     1
2  38589000    0.0631     1
3  38590000    0.0094     1
4  38593000    0.1408     1


      price  quantity  type
0  38574000    0.1088     0
1  38572000    0.1486     0
2  38570000    0.0872     0
3  38568000    0.1043     0
4  38567000    0.1145     0
0  38586000    0.0282     1
1  38587000    0.0153     1
2  38588000    0.0868     1
3  38589000    0.0631     1
4  38590000    0.0094     1


      price  quantity  type
0  38574000    0.0780     0
1  38572000    0.1486     0
2  38570000    0.0872     0
3  38568000    0.1043     0
4  38567000    0.1145     0
0  38586000    0.0282     1
1  38587000    0.0733     1
2  38588000    0.0983     1
3  38589000    0.0631     1
4  38590000    0.0094     1


      price  quantity  type
0  38574000    0.0780     0
1  38572000    0.1486     0
2  38570000    0.0872     0
3  38568000    0.1043     0
4  38567000    0.1145     0
0  38586000    0.0282     1
1  38587000    0.0733     1
2  38588000    0.0983     1
3  38589000    0.0631     1
4  38590000    0.0094     1


      price  quantity  type
0  38574000    0.0780     0
1  38572000    0.1486     0
2  38570000    0.0872     0
3  38568000    0.1043     0
4  38567000    0.1145     0
0  38586000    0.0282     1
1  38587000    0.0733     1
2  38588000    0.0983     1
3  38589000    0.0631     1
4  38590000    0.0094     1


      price  quantity  type
0  38574000    0.0500     0
1  38572000    0.1486     0
2  38570000    0.0872     0
3  38568000    0.1043     0
4  38567000    0.1145     0
0  38586000    0.0282     1
1  38587000    0.0733     1
2  38588000    0.0983     1
3  38589000    0.0631     1
4  38590000    0.0094     1


      price  quantity  type
0  38574000    0.0500     0
1  38572000    0.1486     0
2  38570000    0.0872     0
3  38568000    0.1043     0
4  38567000    0.1145     0
0  38586000    0.0282     1
1  38587000    0.0733     1
